51 30 150
56  26	10.1837	18.1857	18.6135	94.532	-2.92348	25.9451	16.3987	4.73264	0.95	
55  25	8.067	15.5616	17.8992	71.1028	-2.68596	22.7797	18.6206	-2.88059	0.95	
54  26	8.85352	15.4135	18.6802	88.8477	-2.85448	26.3181	15.6364	4.07367	0.95	
53  24	7.93913	16.2191	18.6319	88.5488	-2.73441	24.754	22.5553	-3.5933	0.95	
52  24	10.5045	18.5682	18.9556	85.8393	-2.89892	25.9321	17.3196	4.47939	0.95	
51  23	8.06368	16.7783	18.6929	79.8543	-2.51696	24.641	20.5787	3.43736	0.95	
50  24	9.59153	16.3497	19.0185	77.2549	-3.035	26.5853	15.895	3.61082	0.95	
49  22	8.14239	17.3624	18.8177	77.8503	-2.76593	24.5479	22.0954	4.06373	0.95	
48  22	11.4446	19.8663	19.1417	75.0355	-3.06739	26.0636	14.3411	5.07283	0.95	
47  22	8.88029	17.0003	19.2015	73.3568	-3.04646	25.8463	17.1522	3.62626	0.95	
46  22	10.3446	17.2329	19.4938	68.2553	-3.13557	26.9012	14.6654	3.39267	0.95	
45  21	6.88828	15.7949	18.8702	63.5383	-2.82157	24.2072	23.6219	-3.51954	0.95	
44  20	11.1312	19.0641	18.7642	60.3089	-2.78247	23.433	24.8045	4.5955	0.96	
43  20	7.93289	15.9853	18.7278	53.9377	-2.98798	24.387	20.3134	3.59973	0.96	
42  20	10.277	17.9964	19.4735	56.6587	-2.81446	25.0778	17.7505	4.09439	0.96	
41  19	7.71944	15.4528	18.5759	44.2009	-3.14628	23.3299	24.4625	-3.71544	0.96	
40  20	8.32823	14.7097	18.3099	36.6459	-3.14813	23.0294	31.118	3.48576	0.96	
39  19	6.38143	15.9951	19.0589	41.5803	-3.02772	24.5466	21.9424	-3.55548	0.98	
38  18	10.242	18.3284	19.9888	45.746	-3.16619	25.8335	16.2155	3.58057	0.98	
37  17	8.38643	16.0509	19.0903	40.6609	-3.35705	24.147	21.8525	-3.50254	1	
36  18	8.50697	14.8777	18.3233	27.7569	-3.93275	23.6218	24.765	-3.77504	1	
35  17	6.37072	15.5633	19.0191	30.7811	-3.66395	24.5619	20.5565	3.58916	1	
34  16	10.8833	18.7623	19.9744	37.8938	-3.60532	25.4638	17.0371	3.9085	1	
33  16	8.64162	15.2808	18.7064	26.2234	-4.03709	24.2919	16.1744	3.49762	1	
32  16	8.86378	16.1607	19.3012	29.1961	-3.84659	24.9114	20.5754	3.72829	1	
31  15	7.29693	15.6816	18.1701	22.9477	-4.91844	24.4472	21.6129	-3.62835	1.02	
30  14	10.6092	19.0039	18.0961	23.906	5.1388	24.2856	22.6769	4.20413	1.04	
29  14	8.39469	17.8341	19.8154	26.7472	-5.05659	26.5431	13.3682	-3.40254	1.04	
28  14	11.664	19.935	18.2459	9.3441	6.37156	28.4171	3.42403	2.8331	1.04	
27  13	8.27104	17.1396	17.6773	10.7962	6.37819	28.1224	7.8921	4.85705	1.05	
26  12	11.0931	18.4237	16.6838	19.462	6.4234	24.6914	19.1942	4.10782	1.08	
25  12	7.33058	16.7142	18.0431	17.6516	6.09903	26.1655	11.894	-3.67316	1.08	
24  12	11.6082	20.4868	20.9123	18.9154	-6.05307	28.2251	9.58438	2.7607	1.08	
23  11	8.87861	17.0183	18.5183	16.0023	-6.48627	25.8873	14.7975	-3.39585	1.09	
22  10	10.3643	17.0332	15.3486	19.8608	-3.64516	24.5001	15.8262	4.45552	1.09	
21  10	6.66897	17.3801	16.7481	11.6106	-5.3684	26.756	7.23577	-3.32401	1.09	
20  10	12.9357	20.9305	15.5551	10.4279	-4.12763	29.4259	3.73821	2.1865	1.09	
19  9	7.99483	13.8143	15.8406	17.8814	-2.37282	24.7865	9.2146	-4.07223	1.1	
18  8	8.04403	12.187	14.9195	20.538	-1.75452	23.3034	12.7969	7.0494	1.1	
17  8	4.14299	14.0893	16.0099	16.8396	-1.99543	26.3993	7.68733	5.25919	1.1	
16  8	12.1709	20.7776	16.1926	24.2925	-2.38631	32.6725	1.65079	7.3059	1.1	
15  7	10.2525	16.117	16.8828	22.2524	-1.97587	25.1098	14.778	4.43012	1.07	
14  7	7.51039	12.4831	16.8706	25.4011	-1.82584	22.8081	14.1705	-3.0439	1.07	
13  6	5.67285	18.6775	17.8498	16.9747	-2.19729	28.1784	6.7716	4.989	1.06	
12  6	13.7507	21.3897	19.0214	22.766	-2.48392	26.2303	1.32178	3.26666	1.06	
11  5	11.2277	15.8154	18.2893	17.6627	-1.75614	23.5558	4.19564	9.27779	1.03	
10  5	6.58589	6.02666	19.2643	23.7222	-2.14753	22.9001	6.23663	-7.80063	1.03	
9   4	1.66535	16.6962	19.9648	25.0037	-2.46199	19.9917	15.846	-1.88877	1	
4   2	19.8	26.1	27	0.47	12	45	0.11	40	1.11	
3   2	5.5	7.7	13	0.33	18	15	0.33	13	1.11	
2   1	2.2	2.2	5	0.97	9	15	0	13	0	
