51 30 150
56	26	10.1837	18.1856	18.5939	94.7281	-2.94181	25.902	16.5087	4.88641	0.95	
55	25	8.067	15.5615	17.8871	70.6809	-2.6325	22.6289	19.565	-2.78221	0.95	
54	26	8.85379	15.4137	18.7156	89.663	-2.90333	26.3472	15.9254	4.20158	0.95	
53	24	7.93913	16.2179	18.5836	88.4637	-2.74743	24.5832	23.4399	-3.56753	0.95	
52	24	10.5034	18.5653	18.9455	86.3035	-2.91712	25.9153	17.429	4.49511	0.95	
51	23	8.06197	16.7766	18.6793	79.8319	-2.47372	24.5309	20.7145	3.50717	0.95	
50	24	9.58972	16.3479	18.9968	77.1622	-3.09422	26.63	15.8702	3.60917	0.95	
49	22	8.1424	17.3629	18.7781	77.3937	-2.82515	24.5192	22.1878	4.11866	0.95	
48	22	11.4451	19.867	19.1181	75.1042	-3.1093	26.0669	14.5284	5.1158	0.95	
47	22	8.88073	17.0009	19.1666	73.2578	-3.10233	25.8146	17.341	3.62226	0.95	
46	22	10.3448	17.2363	19.4795	68.2826	-3.16509	26.896	14.7995	3.39528	0.95	
45	21	6.89149	15.7981	18.8364	63.2814	-2.89243	24.2053	23.5937	-3.52116	0.95	
44	20	11.1312	19.0641	18.7198	60.2088	-2.84138	23.4012	25.1164	4.63491	0.96	
43	20	7.93289	15.9312	18.6614	53.452	-3.09136	24.3537	20.5586	-3.60963	0.96	
42	20	10.2229	17.9967	19.4446	57.2194	-2.8778	25.1157	17.8175	4.09249	0.96	
41	19	7.77383	15.5069	18.5072	43.9561	-3.26165	23.3266	24.4967	-3.75249	0.96	
40	20	8.30933	14.7095	18.2534	36.724	-3.377	23.1075	30.3599	3.5446	0.96	
39	19	6.40017	16.0141	19.0328	41.4798	-3.18317	24.6755	21.3932	-3.54614	0.98	
38	18	10.2423	18.3285	19.9393	45.5418	-3.27718	25.8206	16.1868	3.58468	0.98	
37	17	8.38637	16.051	18.996	39.9854	-3.5438	24.1186	21.9642	-3.48032	1	
36	18	8.50697	14.8778	18.1529	27.6388	-4.22062	23.6525	24.5713	3.79233	1	
35	17	6.37082	15.4788	18.8609	30.2008	-3.86645	24.5181	20.9705	3.59244	1	
34	16	10.8833	18.7625	19.728	36.1263	-3.97562	25.478	16.6443	3.97852	1	
33	16	8.6734	15.312	18.5884	26.221	-4.28622	24.3411	16.0923	3.49553	1	
32	16	8.86321	16.2133	19.2098	29.5014	-4.09699	25.0131	20.4271	3.73259	1	
31	15	7.35012	15.727	18.3524	25.1352	-5.04299	24.6525	20.7668	-3.63213	1.02	
30	14	10.6014	19.0041	17.7274	24.1066	5.52688	24.2931	22.869	4.22761	1.04	
29	14	8.40273	17.8418	19.4139	26.2512	-5.45556	26.4629	13.6719	-3.43074	1.04	
28	14	11.6637	19.9349	20.5356	9.50092	-2.92034	28.3931	3.21892	2.85242	1.04	
27	13	8.27117	17.1397	20.2735	10.8739	-3.38401	28.224	7.58216	4.87298	1.05	
26	12	11.0931	18.4236	16.3568	20.3238	6.62331	24.7239	19.146	4.16768	1.08	
25	12	7.33052	16.7142	17.8304	18.0693	6.1422	26.1473	11.8866	-3.70692	1.08	
24	12	11.6083	20.4868	20.5856	18.5335	-6.56832	28.2209	9.49019	2.76563	1.08	
23	11	8.8785	17.0182	18.2885	16.2418	-6.60034	25.8782	14.8253	-3.39285	1.09	
22	10	10.3643	17.0333	15.3154	20.7056	-3.6423	24.57	15.4517	4.57965	1.09	
21	10	6.66904	17.3361	16.4919	12.4412	-5.01262	26.6627	7.34716	3.2398	1.09	
20	10	12.8916	20.8484	15.4045	11.3165	4.03994	29.4152	3.82902	2.18763	1.09	
19	9	7.95684	13.7828	15.8369	18.3495	-2.36742	24.7294	9.39041	-4.1104	1.1	
18	8	8.05052	12.2691	14.9289	20.8458	-1.74639	23.3221	13.0375	7.0386	1.1	
17	8	4.21855	14.1649	15.949	17.1662	-1.88424	27.2651	5.45925	4.38484	1.1	
16	8	12.171	20.7775	20.4567	2.36857	6.08568	34.1017	1.37226	5.73715	1.1	
15	7	10.2524	16.1167	16.8649	20.1587	-2.09613	24.801	13.3305	4.42793	1.07	
14	7	7.51017	10.2311	17.1184	7.24945	-2.28243	23.0197	11.4231	-2.45172	1.07	
13	6	4.94546	18.6777	17.5807	17.8974	-2.01471	28.959	4.83733	3.30897	1.06	
12	6	15.9568	25.1864	23.0623	4.99621	-3.10863	29.4003	0.316942	1.8809	1.06	
11	5	11.2286	15.8163	18.2959	15.9137	-1.77872	24.6825	3.96889	10.1939	1.03	
10	5	6.58673	6.0267	19.1972	23.1554	-2.05166	20.5261	6.31812	-4.58252	1.03	
9	4	1.66454	16.7048	20.2291	18.2811	-2.51679	20.1337	11.3253	-2.04279	1	
4	2	19.8	26.1	27	0.47	12	45	0.11	40	1.11	
3	2	5.5	7.7	13	0.33	18	15	0.33	13	1.11	
2	1	2.2	2.2	5	0.97	9	15	0	13	0	
