# Table 1 from reference Puget Stecker Bredekamp 1976,,,,,,,,,,,,,,,,,,,,,,,
Z,A,eps01,xi1,Delta1,eps02,xi2,Delta2,zeta,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
8,18,24,0.67,9,29,0.2,10,1.1,0.1,0.3,0.1,0.1,0.2,0.2,,,,,,,,,
8,17,24,0.77,9,29,0.2,10,1.1,0.1,0.3,0.1,0.1,0.2,0.2,,,,,,,,,
8,16,24,0.83,9,30,0.04,10,1.1,0.1,0.3,0.1,0.1,0.2,0.2,,,,,,,,,
7,15,23,0.73,10,23,0.1,10,1.07,0.1,0.3,0.1,0.1,0.2,0.2,,,,,,,,,
7,14,23,0.46,10,23,0.37,10,1.07,0.1,0.3,0.1,0.1,0.2,0.2,,,,,,,,,
6,13,23,0.71,8,27,0.05,8,1.06,0.1,0.3,0.1,0.1,0.2,0.2,,,,,,,,,
6,12,23,0.76,6,0,0,0,1.06,0.1,0.3,0.1,0.1,0.2,0.2,,,,,,,,,
5,11,26,0.85,11,26,0.15,11,1.03,0.1,0.3,0.1,0.1,0.2,0.2,,,,,,,,,
5,10,25,0.54,11,25,0.15,11,1.03,0.1,0.3,0.1,0.1,0.2,0.2,,,,,,,,,
4,9,26,0.67,20,0,0,0,1,1,,,,,,,,,,,,,,
2,4,27,0.47,12,45,0.11,40,1.11,0.8,0.2,,,,,,,,,,,,,
2,3,13,0.33,18,15,0.33,13,1.11,0.8,0.2,,,,,,,,,,,,,
1,2,5,0.97,8.8,0,0,0,0,1,,,,,,,,,,,,,,
